Exercici,Ingrés / Despesa,Servei / entitat,Nom servei / entitat,Subsector,Agrupació,"Agrupació
SP",Secció,Entitat CP Sector Públic,Entitat CP SEC,Entitat,Nom Entitat,Servei,Nom Servei,Capítol,Article,Concepte,Aplicació,Nom Aplicació,Àrea,Política,Programa,Nom Programa,Partida,Import sense consolidar
2010,D,AG01,"Gabinet i SG d'Agricultura, Alimentació i Acció Rural",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Agricultura, Alimentació i Acció Rural",2,22,220,2200002,"Premsa, revistes, llibres i altres publicacions",1,12,121,Direcció i administració generals,D/220000200/1210/0000,"60.000,00"
2010,D,IU01,"Gabinet i SG d'Innovació, Universitats i Empresa",Generalitat,IU,IU,IU,X,X,1000,Generalitat,IU01,"Gabinet i SG d'Innovació, Universitats i Empresa",2,22,220,2200002,"Premsa, revistes, llibres i altres publicacions",1,12,121,Direcció i administració generals,D/220000200/1210/0000,"189.255,00"
2010,D,IT01,"Gabinet i SG d'Interior, Relacions Institucionals i Participació",Generalitat,IT,IT,IT,X,X,1000,Generalitat,IT01,"Gabinet i SG d'Interior, Relacions Institucionals i Participació",2,22,220,2200002,"Premsa, revistes, llibres i altres publicacions",1,12,121,Direcció i administració generals,D/220000200/1210/0000,"100.000,00"
2010,D,GO01,Gabinet i SG de Governació i Administracions Públiques,Generalitat,GO,GO,GO,X,X,1000,Generalitat,GO01,Gabinet i SG de Governació i Administracions Públiques,2,22,220,2200002,"Premsa, revistes, llibres i altres publicacions",1,12,121,Direcció i administració generals,D/220000200/1210/0000,"1.046.791,09"
2010,D,PR02,Secretaria del Govern,Generalitat,PR,PR,PR,X,X,1000,Generalitat,PR02,Secretaria del Govern,2,22,220,2200002,"Premsa, revistes, llibres i altres publicacions",1,12,121,Direcció i administració generals,D/220000200/1210/0000,"58.464,00"
2010,D,PO01,Gabinet i SG de Política Territorial i Obres Públiques,Generalitat,PO,PO,PO,X,X,1000,Generalitat,PO01,Gabinet i SG de Política Territorial i Obres Públiques,2,22,220,2200002,"Premsa, revistes, llibres i altres publicacions",1,12,121,Direcció i administració generals,D/220000200/1210/0000,"172.785,20"
2010,D,CU02,Gabinet i SG de Cultura i Mitjans de Comunicació,Generalitat,CU,CU,CU,X,X,1000,Generalitat,CU02,Gabinet i SG de Cultura i Mitjans de Comunicació,2,22,220,2200002,"Premsa, revistes, llibres i altres publicacions",1,12,121,Direcció i administració generals,D/220000200/1210/0000,"121.401,75"
2010,D,EC02,Secretaria d'Economia,Generalitat,EC,EC,EC,X,X,1000,Generalitat,EC02,Secretaria d'Economia,2,22,220,2200002,"Premsa, revistes, llibres i altres publicacions",1,12,121,Direcció i administració generals,D/220000200/1210/0000,"9.000,00"
2010,D,MA07,Secretaria d’Habitatge,Generalitat,MA,MA,MA,X,X,1000,Generalitat,MA07,Secretaria d’Habitatge,2,22,220,2200002,"Premsa, revistes, llibres i altres publicacions",1,12,121,Direcció i administració generals,D/220000200/1210/0000,"11.000,00"
2010,D,PR01,Gabinet i SG de la Presidència,Generalitat,PR,PR,PR,X,X,1000,Generalitat,PR01,Gabinet i SG de la Presidència,2,22,220,2200002,"Premsa, revistes, llibres i altres publicacions",1,12,121,Direcció i administració generals,D/220000200/1210/0000,"102.000,00"
2010,D,EN01,Gabinet i SG d'Educació,Generalitat,EN,EN,EN,X,X,1000,Generalitat,EN01,Gabinet i SG d'Educació,2,22,220,2200002,"Premsa, revistes, llibres i altres publicacions",1,12,121,Direcció i administració generals,D/220000200/1210/0000,"367.200,00"
2010,D,TI01,Gabinet i SG de Treball,Generalitat,TI,TI,TI,X,X,1000,Generalitat,TI01,Gabinet i SG de Treball,2,22,220,2200002,"Premsa, revistes, llibres i altres publicacions",1,12,121,Direcció i administració generals,D/220000200/1210/0000,"120.000,00"
